Date,Open,High,Low,Close,Adj Close,Volume
2015-05-08,44.340000,44.549999,44.000000,44.090000,44.090000,15750200
2015-05-11,43.820000,44.139999,43.590000,43.599998,43.599998,11509600
2015-05-12,44.299999,44.310001,43.689999,43.840000,43.840000,14264800
2015-05-13,44.029999,44.669998,43.980000,44.400002,44.400002,10987200
2015-05-14,44.529999,44.990002,44.450001,44.950001,44.950001,10301800
2015-05-15,45.000000,45.070000,44.689999,44.750000,44.750000,7768600
2015-05-18,44.520000,44.570000,44.040001,44.360001,44.360001,9230000
2015-05-19,44.380001,44.660000,39.119999,40.980000,40.980000,45363900
2015-05-20,42.279999,43.040001,42.160000,42.790001,42.790001,54530800
2015-05-21,43.060001,43.869999,43.049999,43.680000,43.680000,30404300
2015-05-22,43.580002,44.000000,43.470001,43.490002,43.490002,10279400
2015-05-26,43.410000,43.500000,42.580002,42.849998,42.849998,12796000
2015-05-27,42.599998,43.439999,42.279999,43.380001,43.380001,13686500
2015-05-28,43.060001,43.419998,42.930000,43.070000,43.070000,9414000
2015-05-29,43.450001,43.590000,42.810001,42.939999,42.939999,10928000
2015-06-01,43.049999,43.630001,42.910000,43.349998,43.349998,11152900
2015-06-02,43.180000,43.619999,42.919998,43.150002,43.150002,8866500
2015-06-03,43.299999,43.779999,42.980000,43.209999,43.209999,11884100
2015-06-04,43.090000,43.439999,42.759998,42.880001,42.880001,10033400
2015-06-05,42.830002,43.259998,42.700001,42.810001,42.810001,9831100
2015-06-08,42.720001,42.889999,42.000000,42.009998,42.009998,7625500
2015-06-09,41.919998,41.950001,41.020000,41.630001,41.630001,11995200
2015-06-10,41.700001,42.310001,41.689999,42.060001,42.060001,7943800
2015-06-11,42.090000,42.209999,40.549999,40.939999,40.939999,23695000
2015-06-12,40.770000,41.110001,40.459999,40.529999,40.529999,9232700
2015-06-15,40.240002,40.669998,40.209999,40.470001,40.470001,10876300
2015-06-16,40.349998,41.400002,40.020000,40.639999,40.639999,20454500
2015-06-17,40.799999,41.520000,40.779999,40.959999,40.959999,11943100
2015-06-18,41.040001,41.270000,40.790001,40.910000,40.910000,10017600
2015-06-19,40.900002,40.930000,40.369999,40.509998,40.509998,11661500
2015-06-22,40.660000,40.889999,40.540001,40.730000,40.730000,6141500
2015-06-23,40.740002,40.799999,40.509998,40.650002,40.650002,6860600
2015-06-24,40.680000,41.230000,40.580002,40.939999,40.939999,11462200
2015-06-25,41.099998,41.389999,40.900002,41.070000,41.070000,10776200
2015-06-26,40.830002,40.869999,39.930000,40.060001,40.060001,16430900
2015-06-29,39.490002,39.779999,38.849998,38.910000,38.910000,12481300
2015-06-30,39.389999,39.650002,39.189999,39.290001,39.290001,11258300
2015-07-01,39.459999,39.779999,39.150002,39.330002,39.330002,6398400
2015-07-02,39.259998,39.639999,39.189999,39.380001,39.380001,7713000
2015-07-06,38.759998,39.119999,38.459999,38.610001,38.610001,11803400
2015-07-07,38.240002,38.380001,36.580002,38.230000,38.230000,19432500
2015-07-08,37.200001,37.490002,36.939999,37.230000,37.230000,20529200
2015-07-09,38.230000,38.680000,37.520000,37.610001,37.610001,16871200
2015-07-10,38.349998,38.419998,37.779999,37.919998,37.919998,10057600
2015-07-13,38.250000,38.799999,38.099998,38.759998,38.759998,8713200
2015-07-14,38.650002,39.029999,38.439999,38.630001,38.630001,9506500
2015-07-15,38.509998,38.799999,38.150002,38.380001,38.380001,9147300
2015-07-16,38.700001,38.959999,38.599998,38.910000,38.910000,8462400
2015-07-17,39.189999,39.790001,38.930000,39.680000,39.680000,14864300
2015-07-20,39.980000,39.980000,39.259998,39.540001,39.540001,14752100
2015-07-21,39.610001,39.849998,39.349998,39.730000,39.730000,14861600
2015-07-22,38.570000,39.630001,38.259998,39.240002,39.240002,17714800
2015-07-23,39.299999,39.779999,39.060001,39.209999,39.209999,9267400
2015-07-24,39.580002,39.580002,38.669998,38.849998,38.849998,8590700
2015-07-27,38.310001,38.310001,37.650002,37.840000,37.840000,12942700
2015-07-28,37.639999,37.919998,37.270000,37.720001,37.720001,10333100
2015-07-29,37.919998,37.919998,37.380001,37.669998,37.669998,10290600
2015-07-30,37.500000,37.689999,37.299999,37.419998,37.419998,9542700
2015-07-31,37.560001,37.570000,36.619999,36.669998,36.669998,15446100
2015-08-03,36.669998,36.980000,36.369999,36.689999,36.689999,9887300
2015-08-04,36.610001,37.209999,36.599998,37.119999,37.119999,9051900
2015-08-05,37.320000,37.709999,37.230000,37.250000,37.250000,6844000
2015-08-06,37.340000,37.520000,36.299999,36.459999,36.459999,12299700
2015-08-07,36.520000,36.759998,36.150002,36.669998,36.669998,11845500
2015-08-10,36.869999,37.689999,36.869999,37.150002,37.150002,11351400
2015-08-11,36.740002,36.770000,35.730000,36.029999,36.029999,13833200
2015-08-12,34.290001,34.770000,33.849998,34.490002,34.490002,31405700
2015-08-13,35.080002,36.610001,34.820000,35.930000,35.930000,28987700
2015-08-14,35.820000,36.349998,35.720001,36.240002,36.240002,12241100
2015-08-17,36.240002,36.240002,35.770000,36.099998,36.099998,7933600
2015-08-18,35.779999,36.189999,35.599998,35.689999,35.689999,11445300
